标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
电梯高层 主卧次卧都改大了  格局很好 自己不用动,中海御景熙岸(公寓) ,3室2厅,88.58平米,南 北,20,2011,三林,630,71
陆家嘴两房+精装修没住过人+电梯房+拎包入住,陈家宅小区(潍坊西路) ,2室1厅,71.11平米,东南,18,1996,陆家嘴,599,84
前滩旁地铁口 满五年一套，次新小区电梯房，地铁300米,海尚新纪园 ,2室2厅,86.77平米,南,11,2014,三林,785,90
18号地铁+大阁楼空间大+万科物业+商品房+精装修,绿地康桥新苑 ,3室2厅,81.34平米,南 北,6,2004,康桥,550,67
精装修  税费少   位置好   采光佳   业主诚意出售,川杨新苑(四期) ,2室2厅,87.38平米,南,6,2010,张江,530,60
世博板块+精装修+满5年税费少+出门地铁7号线杨高南路,齐宏苑 ,2室2厅,82.64平米,南 北,6,2010,世博,728,88
西邱小区 2室1厅 南,西邱小区 ,2室1厅,72.93平米,南,6,1996,塘桥,580,79
世纪公园地铁口+低总价+全明1梯2户,牡丹路399弄 ,2室1厅,75.93平米,南,6,1996,花木,599,78
杨思前滩+满五名下仅一套住房+中楼层诚意出售,联丰二期 ,2室1厅,70.8平米,南 北,6,1998,杨思前滩,505,71
三林板块+2011年次新房+双南两房+税少+诚意卖,中海御景熙岸(公寓) ,2室2厅,87.16平米,南,20,2011,三林,540,61
南北通格局，户型好，交通便利，配套设施完善,巨峰家苑(公寓) ,2室2厅,81.57平米,南,6,2005,金桥,540,66
一手动迁房，一梯两户，南北通透，满五年，致远,金杨新村四街坊 ,3室1厅,88.52平米,南 北,7,1994,金杨,638,72
链家专属钥匙房，中间三楼，三房朝南，花园位置，急售,金桥新村四街坊 ,3室1厅,84.99平米,南 西南,6,1997,金桥,595,70
内环内地段近地铁户型好户型 板正两房卫商圈配套齐全,洋泾花园城 ,2室2厅,89.5平米,南,6,1996,洋泾,710,79
地铁口精装修南北通两房！杨思前滩金色中环发展带！,博学家园 ,2室1厅,70.64平米,南 北,6,2010,杨思前滩,595,84
1梯2户中低层大两房老少皆宜、厅大舒适、不靠路价好谈,金樟花苑 ,2室1厅,79.29平米,南,6,1994,金杨,610,76
电梯房+满五年V1+无遮挡采光好+绿化好,光鸿苑 ,2室1厅,79.45平米,南,30,2010,南码头,699,87
中环内，电梯高层，南北户型，一手动迁，税费少。,德锦苑 ,2室2厅,84.8平米,南,21,2015,北蔡,618,72
⭐25万精装修⭐大华精品⭐不靠路⭐2改三⭐清晰无抵⭐,大华锦绣华城(十九街区)(公寓) ,2室2厅,89.03平米,南,7,2006,北蔡,775,87
张江南品质小区中空调半人车分流景观楼层,九龙仓兰廷 ,3室2厅,89.52平米,南,18,2016,周浦,665,74
仅售链家客户+价格可谈+满五+接受1年置换周期诚意出售,中冶尚城 ,3室1厅,87.48平米,南 北,14,2010,高行,720,82
内环内电梯房，视野宽敞，采光充足,海运新村 ,2室2厅,76.04平米,东南,18,1990,塘桥,550,72
2007年电梯中高区，近12号地铁，南北两房！,东源名都 ,2室1厅,83.73平米,南 北,18,2007,高行,530,63
不靠路 户型正气  楼层好  精装修 拎包入住,明珠苑(浦东) ,2室1厅,70.36平米,南,6,1997,洋泾,670,95
南北户型 格局楼层好采光充足交通便利带大露台视野好,新高苑(二期) ,2室2厅,86.27平米,南 北,11,2008,高行,530,61
"双南两房户型好，位置佳，荃民户型采光好,三轨交接",金杨新村四街坊 ,3室1厅,74.64平米,南,6,1995,金杨,639,85
宰相楼层，景观视野开阔，推窗映入眼帘就是公园，急售,幸福小镇 ,2室2厅,89.76平米,南 北,5,2005,高行,558,62
此房满五 有产权车位 中+阳空调地暖装修好保养佳,阳光城丽景湾PLUS ,2室1厅,89.53平米,南,18,2016,康桥,630,70
杨思前滩+免增值税+中间楼层+采光好+近地铁+业主急售,申江豪城 ,2室1厅,77.69平米,南 北,5,2004,杨思前滩,745,95
边套，采光视野好，全明户型三开间，小区中间位置,崮山小区二街坊 ,3室1厅,84.49平米,南,6,1999,洋泾,698,82
前滩两站路+小区中间位置+有钥匙随时看+北门地铁,三林安居苑 ,3室1厅,79.25平米,南,5,1998,三林,550,69
6/7号地铁口旁，双南两房，小区位置佳，采光无遮挡,东明苑 ,2室1厅,78.1平米,南,24,1998,世博,639,81
羽北小区单价实惠！南北户型，实用面积高，近地铁！,羽北小区 ,4室1厅,82.73平米,南,7,1997,洋泾,699,84
"满五首房,高楼层精装房屋,业主诚心出售.",印象春城 ,2室2厅,89.3平米,南,15,2011,周浦,580,64
前滩旁，动迁v1，电梯两房，两梯三户，花园位置,永泰花苑 ,2室1厅,83.78平米,南 北,18,2005,三林,678,80
内环边，地铁口，中楼层，房型正气，满五年惟一,由由六村 ,3室1厅,86.73平米,南,6,1995,北蔡,520,59
2013年-环境好-人车分流-13号线地铁口-详情咨询,大华锦绣华城(十五街区) ,2室2厅,74.69平米,南,18,2013,北蔡,718,96
6/9/18三地铁  带20方双花园  南北户型  中间位置,中新家园 ,2室1厅,78.22平米,南,6,2000,洋泾,780,99
花木板块总价较低的小三房，带阳台有车位，空置可看房,杏花新苑 ,3室2厅,81.78平米,南,6,1994,花木,599,73
精装修拎包入住+10年品质社区+前滩CBD旁坐拥百万配套,东旺名苑 ,2室2厅,81.2平米,南 北,11,2010,杨思前滩,698,85
近地铁11号线三林站，满五 唯 一，南北户型。,三林新村(永泰路468弄) ,2室1厅,83.82平米,南 北,18,2009,三林,505,60
2011年竣工，商品房小区中间位置中间楼层,东源名都 ,2室2厅,85.61平米,南 北,16,2011,高行,629,73
商品房，近地铁，精装修，采光好,樱花坊 ,2室2厅,77.49平米,南 北,6,1995,花木,660,85
南北户型远离高架产权车位随时看房满五年价格可谈,日月光水岸花园(一期) ,2室2厅,88.92平米,南,13,2010,张江,800,89
北地铁+南商场+精装修+中间楼层+商品房+得房率高,盛源公寓 ,2室2厅,86.64平米,南 北,6,2003,三林,735,84
两房朝南双阳台 厨卫全明 带27平大客厅 买进高税费少,云台一小区 ,2室2厅,81.39平米,南,6,1999,世博,565,69
玉兰香苑一期，中间楼层，不靠路，诚意出售价格可谈,玉兰香苑一期B块 ,2室2厅,82.5平米,南,6,2004,张江,538,65
05年品质小区+两房或小三房+近6号线一站到前滩,源城锦翠苑 ,3室1厅,73.29平米,南,6,2005,杨思前滩,630,85
采光好+三轨交汇+满五未一+精装修双南两房,岭南苑(凌兆路99弄) ,2室1厅,77.52平米,南,6,1999,三林,540,69
南北通风，近地铁，户型方正，中楼层，采光好,齐锦苑 ,2室2厅,82.56平米,南 北,6,2009,世博,670,81
诚售，空关有钥匙，南北户型视野开阔，户型方正采光佳,黄山始信苑 ,2室2厅,81.09平米,南,6,1999,金杨,740,91
电梯边套三房，产权清晰小区位置好 诚意出售,梅园二街坊 ,3室1厅,71.48平米,南,6,1986,梅园,788,110
南北通飞机户型+双阳台双飘窗+地铁400米的大两房,鹏宏苑 ,2室2厅,89.91平米,南 北,6,2009,北蔡,660,73
近地铁+龙阳CBD+南北两房+房东诚售,白杨小区 ,2室1厅,88.53平米,南,6,1995,北蔡,508,57
好房推荐，南北直通，中间楼层，装修点赞，出行方便,证大家园(一期) ,2室2厅,87.73平米,南,6,2002,金桥,710,80
近地铁，房龄新，无增值税，容积低，绿化好,东陆新村五街坊 ,2室2厅,77.84平米,南,6,2003,金桥,566,72
五年精装修带院子，适合养花养宠物,黄山始信苑 ,2室1厅,70.68平米,南,6,1998,金杨,680,96
满五年，买进价高，税费少，户型好,桃林一小区 ,3室1厅,80.15平米,南,7,1995,源深,720,89
双南南阳台宜居电梯2房！自住装修保养好，看房方便！,东港公寓 ,2室1厅,73.98平米,南,15,1987,陆家嘴,580,78
周浦镇好位置满五采光无遮挡。。。。。，。。。,尚景丽园 ,2室2厅,86.76平米,南,14,2020,周浦,558,64
清水苑二期，满五税少，南北三房户型，配套齐全位置好,金桥湾清水苑 ,3室1厅,82.8平米,南,6,1998,金桥,600,72
业主诚意出售 楼栋位置不错 价格看中再谈 靠地铁,中芯花园199弄 ,2室2厅,89.49平米,南,6,2005,张江,670,74
花木北蔡板块+龙阳CBD+13/18双轨+地铁口,莲怡苑 ,2室1厅,86.7平米,南,5,2005,北蔡,599,69
中环，15年房龄，带装修，诚意出售，随时看房，近地铁,德锦苑 ,2室2厅,85.88平米,南,21,2015,北蔡,570,66
内环内 满五年 置换急售 全明三房 近6号线+9号线,崮山小区四街坊 ,3室2厅,80.57平米,南,6,1996,洋泾,675,83
采光好 双天井 9号线300米,河滨城市花园 ,3室1厅,85.14平米,南,6,2006,曹路,538,63
2006年的商品房，满5年，精装修，距离地铁近，楼层好,河滨城市花园 ,2室2厅,89平米,南,11,2006,曹路,535,60
带大花园，户型板正，业主诚售，近前滩CBD！,恒大华城东林苑 ,3室1厅,79.36平米,南 北,6,2002,杨思前滩,600,75
金色中环，家门口6号线地铁站，电梯中区  原始三房,博学家园 ,3室1厅,87.97平米,南,11,2010,杨思前滩,750,85
临沂大楼 2室1厅 南 北,临沂大楼 ,2室1厅,83.38平米,南 北,25,1993,南码头,650,77
【价格好谈】带20平院子，1楼，满五年，采光无遮挡,黄山始信苑 ,2室1厅,80.09平米,南 北,6,1999,金杨,799,99
看过来！！！中间楼层 位置好 税费少 温馨的家,绿地崴廉公寓 ,2室2厅,87.54平米,南,14,2005,高行,565,64
近地铁9号线，新上南北两房，楼层好，业主诚售。,金泽苑 ,2室2厅,89.14平米,南 北,6,1999,金桥,608,68
4D聚焦，总监力荐，钥匙在手，此房真心YYDS,金东名苑 ,2室1厅,84.77平米,南,14,2007,金桥,645,76
金色中环带  近地铁  宜居环景好  潜力无限,东力新村 ,2室2厅,88.96平米,南,5,2003,高行,610,68
业主诚意出售  看房提前思约 税费少,东港公寓 ,2室1厅,73.98平米,南,15,1987,陆家嘴,688,92
滨江大楼 2室1厅 南,滨江大楼 ,2室1厅,70.76平米,南,24,1997,陆家嘴,528,74
房子不靠马路 南北通 满五年 带车位 中间楼层 视野好,印象春城 ,2室2厅,89.43平米,南 北,18,2011,周浦,555,62
地杰三期经典两房，户型方正，楼层位置好看房有钥匙,地杰国际城D街坊 ,2室2厅,80.25平米,南,18,2009,御桥,639,79
比邻公园 2014年竣工 一梯二户 南北直通房型,新高苑(四期) ,2室2厅,86.05平米,南,14,2013,高行,510,59
前滩板块+商品品质＋电梯两房，总价低诚意出售,永泰花苑 ,2室1厅,72.44平米,南 北,12,2005,三林,500,69
商品房社区，满五年业主就一套房子，双南户型，全明,海桐苑 ,2室2厅,87.06平米,南,6,2000,花木,795,91
前滩旁+满五年V1，税费低，业主诚意卖，有阁楼的诚意,新里城和合苑 ,2室1厅,75.07平米,南 北,6,1999,杨思前滩,560,74
新上架，一手动迁，1%个税。无户口无抵押，价格可谈,地杰国际城D街坊 ,2室2厅,84.8平米,南,27,2009,御桥,588,69
好楼层，好位置，南北通好户型，全明采光无。业主诚心,通联苑 ,2室2厅,89.53平米,南,6,2000,金杨,743,82
世博电梯双南全明电梯两房，户型正气，近地铁7/13号线,长清路1-3号 ,2室2厅,82.13平米,南,6,1994,世博,750,91
绿地康桥新苑 2室2厅 南 北,绿地康桥新苑 ,2室2厅,76.31平米,南 北,6,2004,康桥,530,69
中新家园双南2两房！采光好！居家装修！诚意出售！！,中新家园 ,2室1厅,77.09平米,南,6,1999,洋泾,729,94
带阁楼，上下2层，楼上一房一卫！地铁口！,博学家园 ,3室2厅,70.64平米,南 北,6,2010,杨思前滩,550,77
全明户型 两开间朝南 好采光精装修拎包入住,罗山三村 ,2室1厅,79.05平米,南 北,6,1996,金杨,520,65
澧溪品质小区，可拎包入住，小区环境优美，电梯中间层,龙泽家园 ,2室1厅,88.27平米,南 北,8,2007,周浦,588,66
满五 仅有 位置花园央坐 通透 方正 地铁 有小院,玉兰香苑一期B块 ,2室2厅,87.09平米,南,6,2004,张江,510,58
森兰国际社区滨江地段 少有户型  房东置换 诚意出售,东靖苑 ,2室1厅,86.62平米,南,6,2003,高行,500,57
近双子塔，16年品质小区+税费少诚意出售+高区自住精装,申城佳苑二期B块 ,2室2厅,89.4平米,南,16,2017,张江,518,57
杨思前滩+杨思前滩+商品房+复式+全明户型+安静社区,联丰苑 ,4室2厅,88.42平米,南 北,6,1999,杨思前滩,708,80
前滩中环内通透格局，楼层好，视野开阔，周/边配套.,绿茵苑(浦东) ,2室1厅,71.98平米,南,6,1998,杨思前滩,530,73
浦东内环内+商品房一梯2户+户型正气＋中间楼层好房,明珠苑(浦东) ,2室1厅,81.68平米,南,6,1997,洋泾,789,96
新出电梯二房，高区，03年小区,东城新村 ,2室2厅,80.34平米,南,18,2003,杨东,610,75
店长推荐⭐️双轨地铁口低单价电梯房！拎包入住！,蓝高小区 ,2室1厅,80.16平米,南,18,1993,塘桥,545,67
公房免增值税，电梯高层，南北全明，紧靠内环！,锦绣河山 ,2室1厅,76.95平米,南,25,1996,金杨,523,67
业主诚意出售，中高区南北两房，边套全明，满5方便看,贵龙园 ,2室1厅,76.93平米,南,22,2002,塘桥,768,99
品质小区、电梯房、香奈名邸、近地铁,华府188 ,3室2厅,88.51平米,南,22,2016,川沙,790,89
新高苑(三期) 2室2厅 南,新高苑(三期) ,2室2厅,83平米,南,6,2011,高行,500,60
金色杉林 中区双南两房 价格实惠 采光好 视野开阔,杉林新月环林东路875弄 ,2室2厅,83.33平米,南,18,2006,三林,576,69
一梯3户少有户型+中层西边套+zhongyang空调+双南两房,齐四小区 ,2室1厅,76.86平米,南,6,1997,世博,550,71
内中环 两房的价格买120平的使用面积的复式三房 四房,都市庭院 ,3室2厅,77.81平米,南 西,6,1999,世博,795,102
⭐三期模范⭐ 落地窗 南北户型 采光足 视野开阔 满五,金桥湾清水苑 ,2室1厅,70.1平米,南,6,1998,金桥,525,74
新上一楼南北通两房房源，生活便利。户型通透,曹路家苑 ,2室2厅,89.66平米,南,9,2010,曹路,515,57
02年小区，房龄新，精装修，中间楼层，全明户型,聚龙家园 ,2室1厅,73.96平米,南 北,6,2002,北蔡,500,67
总价低 地铁口 电梯两房 万科物业 商品房,绿地康桥新苑 ,2室2厅,87.58平米,南,14,2004,康桥,528,60
一手动迁房 税费少 双天井的房子 停车方便 福山外国语,双桥小区 ,2室1厅,72.67平米,南,6,1998,金桥,550,75
旭辉LCM综合体 6号线 北洋泾 9号线 芳甸路 精装 双南,崮山小区四街坊 ,2室1厅,70.12平米,南,6,1996,洋泾,599,85
一手动迁满五电梯高层，中间位置，户型正气 诚心出售,民康苑 ,2室2厅,84.75平米,南,18,2008,御桥,649,76
金色中环杨思区域+前滩辐射+盒马X会员店+满五年税少,新里城和合苑 ,2室2厅,78.84平米,南,6,1999,杨思前滩,550,69
新装半年 拎包入住 楼层好位置佳,吉云公寓 ,3室1厅,73.05平米,南,6,1995,联洋,729,99
此房精装修 一梯两户  采光好 户型方正 税费少 房龄新,浦三锦苑 ,2室1厅,79.3平米,南 北,6,未知,世博,590,74
地铁300多米+03年商品房+带20平花园+无个税+好位置,华城丽苑 ,2室2厅,87.54平米,南,5,2003,杨思前滩,680,77
一梯两户 南北通透 全明户型 售后公房 满五税少可贷足,谢家宅小区 ,2室1厅,88.07平米,南 北,6,1994,陆家嘴,655,74
陆家嘴板块，全明方正两室户，精装修,滨江大楼 ,2室1厅,80.37平米,西南,24,1997,陆家嘴,640,79
店长首推！惊爆价！全明南北通三房，动迁税低随时看房,东陆新村五街坊 ,3室1厅,77.85平米,南,6,2003,金桥,520,66
前滩八号线 低总价三房 楼层佳位置好 随时看房,华夏小区 ,3室1厅,85.12平米,南,5,1995,杨思前滩,520,61
边套全明，格局通透，楼层好，视野宽阔采光足交通便利,申波苑 ,2室1厅,75.59平米,南,6,2003,北蔡,535,70
前滩高区景观板式独立餐厅客厅南北两房+诚意+看房方便,三杨新村一街坊 ,2室1厅,78.13平米,南 北,16,2013,杨思前滩,698,89
纯商品房小区精装30W+近地铁+中层+两室带书房,华佳花园 ,2室1厅,82.08平米,南,6,1996,北蔡,560,68
前滩辐射区  电梯房 诚意出售 已经空关,杉林新月环林东路799弄 ,2室1厅,79.1平米,南,12,2004,三林,515,65
双线地铁+金色中环+前滩辐射+2加1户型,桃李家园 ,2室2厅,73.92平米,南 北,6,1998,杨思前滩,560,75
7号线地铁口200米+龙阳CBD+全明边套3房+满五年税费少,新花苑 ,3室1厅,83平米,南,5,1995,北蔡,540,65
不靠马路，位置安静，业主诚意出售,锦绣小区 ,3室1厅,82.73平米,南 北,6,1996,联洋,750,90
2012年电梯小区+地铁口+一手动迁+中高层+全明南北两房,芳芯路251弄 ,2室1厅,78.29平米,南 北,14,2012,北蔡,620,79
动迁，满五，不靠外环，电梯高区，精装南北户型,永泰花苑 ,2室1厅,72.85平米,南,12,2005,三林,520,71
急售+看房方便+有钥匙+景观楼层+满五年税少,保利金爵公寓 ,2室2厅,86.45平米,南,11,2009,唐镇,578,66
